Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -672.4330939535331, time: 17.91
steps: 49975, episodes: 2000, mean episode reward: -804.9403999608191, time: 35.755
steps: 74975, episodes: 3000, mean episode reward: -596.3314329071301, time: 35.456
steps: 99975, episodes: 4000, mean episode reward: -591.6087321204444, time: 35.407
steps: 124975, episodes: 5000, mean episode reward: -605.2440060048265, time: 35.475
steps: 149975, episodes: 6000, mean episode reward: -616.86654583882, time: 35.503
steps: 174975, episodes: 7000, mean episode reward: -623.4724790596836, time: 35.547
steps: 199975, episodes: 8000, mean episode reward: -614.9181719162074, time: 35.722
steps: 224975, episodes: 9000, mean episode reward: -590.2852243333633, time: 34.616
steps: 249975, episodes: 10000, mean episode reward: -589.5743723217547, time: 35.662
steps: 274975, episodes: 11000, mean episode reward: -640.297593996148, time: 35.743
steps: 299975, episodes: 12000, mean episode reward: -749.3385866519479, time: 35.711
steps: 324975, episodes: 13000, mean episode reward: -605.3046236221334, time: 35.789
steps: 349975, episodes: 14000, mean episode reward: -654.1759644883946, time: 35.832
steps: 374975, episodes: 15000, mean episode reward: -698.7844142876554, time: 35.372
steps: 399975, episodes: 16000, mean episode reward: -701.5520123951517, time: 35.383
steps: 424975, episodes: 17000, mean episode reward: -697.8658897788104, time: 35.855
steps: 449975, episodes: 18000, mean episode reward: -687.0085786666896, time: 35.723
steps: 474975, episodes: 19000, mean episode reward: -697.6723070543713, time: 36.209
steps: 499975, episodes: 20000, mean episode reward: -760.7950696938203, time: 37.551
steps: 524975, episodes: 21000, mean episode reward: -806.3568662250412, time: 37.614
steps: 549975, episodes: 22000, mean episode reward: -882.461310606841, time: 37.836
steps: 574975, episodes: 23000, mean episode reward: -865.7754261759854, time: 37.57
steps: 599975, episodes: 24000, mean episode reward: -1296.3065477054288, time: 37.493
steps: 624975, episodes: 25000, mean episode reward: -1071.48196242226, time: 37.556
steps: 649975, episodes: 26000, mean episode reward: -1039.2049624683063, time: 37.555
steps: 674975, episodes: 27000, mean episode reward: -1116.584864656326, time: 36.682
steps: 699975, episodes: 28000, mean episode reward: -1015.5615313056829, time: 35.946
steps: 724975, episodes: 29000, mean episode reward: -862.7075344269255, time: 35.933
steps: 749975, episodes: 30000, mean episode reward: -896.3939828575399, time: 35.988
steps: 774975, episodes: 31000, mean episode reward: -814.0579385737373, time: 35.957
steps: 799975, episodes: 32000, mean episode reward: -797.5892033169396, time: 36.021
steps: 824975, episodes: 33000, mean episode reward: -797.3574951254149, time: 35.985
steps: 849975, episodes: 34000, mean episode reward: -872.7107816948102, time: 35.996
steps: 874975, episodes: 35000, mean episode reward: -864.1565428703518, time: 36.046
steps: 899975, episodes: 36000, mean episode reward: -762.6334047538571, time: 35.935
steps: 924975, episodes: 37000, mean episode reward: -793.3891031553885, time: 36.049
steps: 949975, episodes: 38000, mean episode reward: -838.8990182024638, time: 36.265
steps: 974975, episodes: 39000, mean episode reward: -1072.6738579367627, time: 36.046
steps: 999975, episodes: 40000, mean episode reward: -1181.78412724574, time: 35.612
steps: 1024975, episodes: 41000, mean episode reward: -1163.4825533845167, time: 36.104
steps: 1049975, episodes: 42000, mean episode reward: -1107.1368824532724, time: 36.074
steps: 1074975, episodes: 43000, mean episode reward: -987.5400321837312, time: 35.675
steps: 1099975, episodes: 44000, mean episode reward: -830.6218301575234, time: 36.036
steps: 1124975, episodes: 45000, mean episode reward: -808.8103184980871, time: 36.144
steps: 1149975, episodes: 46000, mean episode reward: -1052.138247645579, time: 36.146
steps: 1174975, episodes: 47000, mean episode reward: -799.4631414684394, time: 36.166
steps: 1199975, episodes: 48000, mean episode reward: -818.5664786184104, time: 36.177
steps: 1224975, episodes: 49000, mean episode reward: -840.159643274995, time: 35.655
steps: 1249975, episodes: 50000, mean episode reward: -897.3682295162704, time: 36.221
steps: 1274975, episodes: 51000, mean episode reward: -920.4914049864148, time: 36.178
steps: 1299975, episodes: 52000, mean episode reward: -1000.4696017266617, time: 36.085
steps: 1324975, episodes: 53000, mean episode reward: -977.4655231562203, time: 36.139
steps: 1349975, episodes: 54000, mean episode reward: -1270.6270808825525, time: 35.992
steps: 1374975, episodes: 55000, mean episode reward: -1331.9065548528472, time: 36.162
steps: 1399975, episodes: 56000, mean episode reward: -1056.7063531139968, time: 36.162
steps: 1424975, episodes: 57000, mean episode reward: -1051.3301075405548, time: 36.138
steps: 1449975, episodes: 58000, mean episode reward: -1118.9520813770423, time: 36.181
steps: 1474975, episodes: 59000, mean episode reward: -1126.9296955801574, time: 36.169
steps: 1499975, episodes: 60000, mean episode reward: -1022.9268367864526, time: 36.854
...Finished total of 60001 episodes.
